CustomerID,OrderDate,TotalAmount
45,2025-06-28,9959
67,2025-12-30,2081
28,2025-07-23,7756
61,2026-03-03,2587
19,2025-07-27,6377
39,2025-10-01,2903
57,2025-11-03,9955
62,2025-12-25,9985
9,2025-11-05,3293
23,2026-02-06,7656
55,2025-08-15,5890
32,2025-07-07,8457
53,2025-06-11,272
41,2025-10-26,7967
66,2025-05-03,4072
3,2026-02-05,1402
12,2026-02-08,1952
25,2025-05-26,4887
48,2026-02-25,9134
17,2025-06-18,8585
60,2025-12-13,274
16,2025-12-22,5351
28,2025-09-06,778
43,2026-04-25,6708
6,2025-07-31,6923
10,2026-02-14,6506
29,2026-03-17,6752
73,2025-09-09,4677
80,2026-02-24,1523
28,2025-09-08,9788
32,2025-11-11,7288
67,2025-12-04,3403
6,2025-09-26,2546
28,2026-03-24,9951
75,2025-06-21,7014
65,2025-08-15,1040
67,2025-11-04,2038
31,2025-05-08,8677
73,2026-03-23,8882
44,2025-07-05,4765
10,2025-12-02,3745
42,2025-09-14,4045
69,2025-07-24,7881
15,2025-07-17,7856
69,2025-09-16,4434
39,2026-04-27,2127
54,2026-01-07,8466
10,2026-02-01,1826
32,2025-11-25,5125
34,2025-07-14,3047
43,2025-12-28,5256
15,2025-12-06,8658
38,2025-10-26,5029
41,2026-01-02,8499
34,2025-07-21,2417
10,2025-08-23,954
47,2025-11-30,4414
42,2025-12-31,2922
37,2025-12-04,7944
53,2025-08-15,560
34,2025-12-31,2982
60,2026-01-26,909
11,2025-08-25,4261
44,2026-03-27,9503
49,2025-10-08,1978
53,2026-03-29,8756
80,2026-03-22,618
59,2025-09-09,6602
77,2025-10-12,9531
27,2025-11-19,9110
11,2025-07-26,7127
3,2026-03-18,3006
70,2026-01-15,2176
73,2025-11-08,4317
36,2025-11-16,5440
7,2025-12-07,3403
44,2025-06-27,8663
21,2025-09-22,2964
76,2025-05-22,4893
64,2025-07-16,8939
50,2026-01-24,7168
16,2025-10-11,6991
55,2026-03-04,7529
78,2026-01-07,5959
33,2025-12-30,980
2,2026-01-09,2435
61,2026-03-08,5743
23,2026-01-30,5241
52,2026-04-16,4736
26,2025-06-29,3228
71,2025-09-03,7780
65,2026-04-23,2188
5,2025-12-21,2080
56,2026-03-01,7281
8,2025-05-14,7148
44,2025-07-06,1699
44,2026-02-25,7617
52,2025-12-21,2972
30,2025-10-03,5594
49,2026-02-01,4953
45,2025-06-01,8198
23,2025-09-13,1884
6,2025-06-23,5209
22,2026-02-20,6136
76,2025-05-17,1997
2,2025-11-02,9382
59,2025-07-27,4823
5,2025-07-01,8718
80,2025-11-13,7958
46,2025-10-12,6204
42,2025-08-28,9565
31,2026-03-07,4430
39,2025-06-04,5275
55,2025-11-25,7225
35,2026-02-20,1469
32,2025-05-24,831
47,2026-04-30,727
19,2026-01-02,3934
55,2025-11-07,6543
19,2025-06-19,3844
73,2026-01-22,9301
54,2025-05-27,3028
60,2025-05-18,6466
67,2025-09-27,6214
21,2025-06-04,3797
42,2025-11-22,9150
23,2026-01-03,8116
31,2025-06-29,9197
52,2025-06-12,2085
65,2025-08-06,8689
40,2025-08-11,538
53,2026-02-23,8592
40,2025-05-05,1460
78,2025-07-11,8222
74,2026-04-02,3087
28,2026-03-12,7032
62,2025-05-09,7284
7,2025-11-17,4056
59,2026-04-24,9489
52,2025-12-02,1415
71,2025-06-17,6303
48,2025-06-12,2163
6,2025-11-05,7183
78,2025-09-22,338
55,2025-08-29,2505
8,2026-02-25,8708
77,2025-10-19,8169
43,2025-09-03,2418
27,2025-12-25,5274
12,2025-05-04,3198
19,2025-07-28,3915
18,2025-08-06,4916
77,2025-09-07,1273
1,2025-09-05,2271
10,2026-01-14,2861
66,2026-03-06,1445
7,2025-07-31,716
16,2025-11-05,7917
22,2025-09-20,1211
56,2025-10-13,815
39,2025-08-09,1127
26,2025-07-23,7800
65,2025-08-18,7123
68,2025-10-15,1569
45,2025-12-20,7616
41,2025-09-01,5584
55,2025-11-24,9037
57,2025-12-10,5914
16,2025-12-14,498
16,2025-06-04,9712
3,2025-08-17,6024
50,2025-11-29,567
15,2025-10-29,4216
78,2025-06-11,645
1,2025-07-05,3270
34,2025-07-05,1494
64,2025-07-31,7678
71,2025-05-23,5247
60,2025-07-10,3777
33,2026-01-21,4674
78,2026-02-17,9538
24,2025-06-15,7473
74,2025-07-03,6599
45,2025-10-16,6006
67,2025-08-20,948
64,2025-06-02,7389
59,2025-09-03,922
58,2025-05-13,7043
33,2026-04-22,1398
43,2025-12-25,7289
60,2026-02-13,9780
74,2026-01-21,1826
27,2026-01-29,2000
27,2025-06-03,2923
16,2025-06-07,7226
57,2025-09-29,1408
57,2025-06-27,9442
37,2025-09-09,2478
47,2025-09-04,9512
47,2025-09-13,8080
16,2026-03-20,8733
29,2025-12-21,6192
48,2026-02-02,6862
67,2026-02-18,1279
12,2026-03-21,8638
67,2025-07-15,9212
66,2025-08-25,6898
56,2025-05-02,3542
76,2025-06-01,8553
51,2025-10-07,6214
54,2025-08-13,8383
43,2025-05-16,3386
43,2025-08-24,6547
60,2026-03-24,8935
73,2025-06-27,8903
13,2026-02-04,7197
79,2025-06-15,3835
46,2026-03-29,9694
16,2025-10-03,9080
21,2025-10-23,2092
70,2025-05-19,3798
16,2026-03-02,5584
69,2025-10-23,1870
46,2025-12-31,6554
60,2025-07-31,2901
63,2025-11-27,8914
62,2025-11-15,9696
65,2025-06-18,3369
45,2025-09-28,7146
9,2026-01-27,5364
31,2026-01-21,6601
37,2026-03-26,3967
57,2026-01-23,453
79,2025-09-19,5344
28,2025-06-16,985
80,2026-03-25,1433
19,2026-04-29,1324
5,2025-12-09,7808
27,2026-04-25,2337
29,2025-07-09,7095
26,2026-02-04,960
9,2026-02-13,4223
10,2025-12-31,6417
10,2025-10-17,9180
67,2025-09-04,2030
63,2026-01-28,2776
74,2025-05-25,1574
50,2026-02-04,776
19,2025-05-08,4182
54,2025-10-22,3172
51,2025-08-17,9098
73,2025-07-05,8687
18,2025-06-17,1482
16,2025-06-22,1531
37,2026-01-20,6118
3,2025-09-25,845
60,2025-07-18,5125
52,2026-04-27,1542
64,2025-09-01,1514
79,2025-11-26,1551
52,2026-03-24,4104
48,2025-10-01,7923
36,2025-07-05,1483
71,2025-05-30,250
8,2025-08-11,9523
8,2025-10-02,8437
42,2025-06-29,9767
53,2025-08-26,3305
61,2025-07-05,5122
2,2025-11-05,2115
13,2026-04-01,5789
49,2025-06-10,3186
39,2026-04-17,9265
12,2025-11-29,9349
61,2025-12-06,6955
44,2025-06-03,3857
34,2025-12-28,3692
52,2025-09-10,3761
62,2025-11-21,4293
3,2026-01-19,3580
55,2026-02-21,2968
54,2025-05-05,9141
73,2025-06-03,8935
10,2026-02-04,6333
28,2026-01-12,2935
6,2025-06-24,6515
60,2025-05-03,2245
26,2025-08-10,3112
64,2026-02-02,4975
80,2026-04-05,2582
51,2026-01-19,3243
66,2026-01-23,2076
56,2025-09-21,8755
35,2025-09-05,3260
40,2025-10-18,2188
6,2026-04-29,3054
57,2026-01-28,2521
53,2026-04-05,2538
32,2025-12-21,8897
61,2025-11-07,1528
63,2026-02-25,1147
55,2025-12-19,4005
7,2026-01-07,9768
41,2025-05-25,4145
61,2025-08-20,4666
7,2025-11-18,4568
62,2026-02-09,5906
14,2026-04-09,9991
37,2025-05-20,8475
58,2026-03-29,8354
20,2026-03-05,7064
68,2025-08-15,362
31,2025-08-06,9176
80,2025-05-11,4625
48,2025-12-17,5604
50,2025-12-16,2508
8,2025-10-17,7129
1,2025-07-28,5835
30,2025-08-23,9092
55,2025-09-21,7956
72,2025-12-17,8045
77,2025-09-20,8384
26,2025-11-17,2711
14,2026-02-27,2915
41,2025-05-05,9980
69,2026-04-11,7230
67,2025-05-07,641
63,2025-10-06,5118
20,2025-11-04,512
25,2026-03-14,3832
13,2025-11-01,4444
20,2025-05-07,6305
69,2026-01-24,8012
55,2025-11-19,2507
14,2025-09-29,9594
78,2026-04-28,3329
38,2026-03-13,629
8,2026-04-02,7502
63,2026-02-26,3740
24,2026-01-05,4373
43,2025-11-15,5366
73,2026-01-09,5267
58,2026-01-08,5356
53,2025-09-27,4646
70,2025-12-06,1187
73,2025-06-13,9358
4,2025-12-21,1882
40,2025-08-05,7328
59,2026-01-24,5690
34,2026-01-17,6330
72,2026-01-16,1973
7,2025-08-06,8234
12,2026-02-28,7267
41,2025-07-24,5842
75,2025-08-23,1628
49,2025-09-06,7493
38,2026-04-08,4792
76,2025-12-21,9403
31,2025-07-17,6399
31,2026-04-08,7962
29,2025-05-23,6309
21,2026-01-23,7750
41,2026-01-23,7424
49,2026-02-09,4055
73,2026-02-20,8504
36,2025-07-08,4742
55,2026-01-18,9819
24,2025-05-09,3067
39,2025-05-12,4824
13,2026-04-15,1465
41,2026-01-17,8936
75,2025-08-01,8426
12,2025-10-05,426
42,2025-07-05,5559
66,2026-04-05,823
23,2025-05-02,2012
77,2025-06-15,7184
43,2026-04-16,858
30,2025-07-11,8201
25,2026-02-12,1436
57,2026-04-25,5207
74,2025-12-11,6758
38,2025-12-19,3279
77,2026-03-19,9288
73,2025-10-09,7325
35,2025-07-20,309
66,2025-07-19,3035
34,2025-05-12,405
4,2026-04-07,2104
66,2026-04-27,1155
25,2026-03-07,1626
10,2026-04-23,3365
66,2025-11-30,8183
14,2025-05-01,3003
4,2025-11-15,6247
74,2025-09-25,8359
5,2025-05-21,6286
55,2025-08-29,4892
17,2025-09-20,9795
55,2025-12-16,5619
54,2026-01-01,1837
4,2026-03-05,7603
57,2025-07-13,6828
79,2026-01-03,350
78,2026-04-09,9824
25,2026-02-17,5197
22,2025-08-15,5103
24,2025-10-01,2199
67,2025-12-13,2790
37,2025-10-10,9266
19,2026-01-28,9029
61,2025-10-25,825
47,2026-03-06,9796
24,2025-06-17,7736
66,2025-09-23,7398
45,2025-07-21,9317
61,2025-06-19,6213
67,2025-06-21,1645
8,2025-07-26,4010
22,2025-09-20,4230
12,2026-03-16,402
57,2026-03-08,4367
47,2025-11-27,4300
62,2025-08-29,1108
13,2025-11-14,2847
68,2026-02-20,6003
28,2025-11-02,8724
25,2025-12-06,7487
29,2025-08-21,9500
74,2025-07-08,8650
69,2025-12-12,3442
62,2026-04-22,1155
17,2025-06-16,5761
52,2025-10-27,5358
1,2025-07-20,5031
37,2025-06-30,8932
50,2026-01-04,1992
20,2026-01-04,5026
36,2025-11-01,2564
21,2025-07-09,9216
58,2025-09-29,2224
39,2025-09-03,2055
36,2025-10-05,8490
22,2025-12-24,7637
68,2025-10-02,6205
34,2025-06-12,8027
8,2025-10-02,6037
8,2025-09-26,3663
46,2025-12-11,2206
66,2025-07-31,8672
75,2025-09-09,4139
22,2025-05-06,2411
56,2025-05-04,6341
9,2025-07-25,6166
58,2026-03-11,5397
39,2026-04-20,992
80,2025-07-15,9375
20,2026-02-04,1980
41,2025-07-08,9498
4,2026-01-04,4902
59,2025-10-28,3315
25,2026-04-26,7294
69,2026-03-18,7822
8,2025-07-21,1339
18,2025-11-11,7207
39,2026-03-28,3051
36,2025-08-31,3745
20,2026-02-04,8414
29,2026-03-10,4348
50,2025-09-26,2792
67,2025-08-29,5065
42,2025-12-01,4608
28,2025-10-01,4188
33,2026-03-22,625
9,2026-04-24,8562
15,2026-01-18,2948
67,2025-09-13,3558
51,2025-11-09,9411
64,2025-11-22,2859
66,2025-05-09,6601
50,2025-11-08,6946
55,2025-10-23,2309
67,2025-05-01,3049
5,2025-10-15,7510
25,2025-09-06,942
25,2025-11-18,2746
65,2025-11-15,1349
55,2026-04-16,2966
45,2025-10-22,1487
69,2025-07-27,9371
5,2026-01-05,9852
1,2025-12-26,8087
62,2026-01-01,869
59,2025-05-19,2555
58,2026-03-21,2267
39,2025-06-09,8713
21,2025-05-23,8037
1,2025-09-14,8600
71,2026-03-16,6533
57,2025-11-01,3576
2,2025-08-16,6715
68,2025-12-15,9976
62,2025-07-17,7313
12,2025-11-24,8096
40,2025-07-07,6192
56,2025-07-10,6846
14,2025-10-29,3075
25,2025-07-30,1632
4,2025-06-12,4838
74,2026-03-08,8990
57,2026-04-21,5132
79,2025-05-19,5478
65,2026-04-22,6237
76,2026-04-14,8769
2,2026-02-14,3056
42,2026-03-26,6860
52,2026-02-20,7857
22,2025-10-05,1287
40,2025-08-11,7702
79,2025-05-15,7215
1,2026-03-14,5597
7,2026-02-25,2450
3,2026-04-17,2285
74,2025-10-02,9128
52,2025-08-09,5580
70,2025-10-25,831
77,2025-08-05,310
36,2025-06-07,8416
14,2026-03-13,2018
20,2025-07-25,7184
24,2025-09-03,1773
3,2025-09-25,5051
36,2026-03-25,8477
25,2025-08-01,8174
40,2025-08-18,5632
43,2025-11-21,6766
56,2026-03-29,7502
19,2026-03-21,6975
78,2025-08-06,3320
6,2026-02-25,4632
45,2025-05-30,6994
28,2025-11-24,5277
46,2025-09-03,8897
40,2025-08-21,6263
67,2026-02-06,7954
65,2026-02-06,3275
49,2025-11-08,1810
36,2026-04-14,4220
73,2026-03-27,7475
15,2026-02-21,756
40,2026-03-06,7908
52,2026-01-14,7463
23,2025-11-24,8332
6,2026-04-08,4339
20,2025-08-02,9048
8,2025-10-25,4560
30,2025-09-14,1605
32,2025-09-13,7451
30,2026-03-19,7375
21,2025-09-03,5964
66,2026-04-26,4877
20,2025-08-26,8189
17,2026-01-28,7511
45,2025-10-09,9420
68,2025-07-17,8427
32,2025-11-02,9173
28,2025-09-18,8356
42,2025-07-31,7027
5,2025-08-04,3626
73,2025-10-06,6731
55,2026-01-22,5180
52,2026-01-12,1947
74,2026-02-23,9881
2,2025-11-09,5799
6,2026-02-14,3213
76,2026-02-16,9360
30,2026-04-03,3945
3,2025-10-28,5585
48,2025-11-27,9822
17,2025-07-09,2503
52,2025-05-19,1603
42,2025-07-14,1309
77,2025-07-16,745
77,2026-01-28,254
27,2025-10-08,3109
53,2025-10-06,9351
13,2026-03-27,5384
28,2026-03-23,521
59,2025-10-13,6202
54,2026-01-15,3442
70,2026-02-25,9269
31,2026-04-26,4858
24,2026-02-04,4727
70,2025-09-20,6986
51,2025-07-24,2088
67,2025-12-20,8619
62,2026-04-18,9229
1,2025-07-15,281
71,2025-05-24,9704
5,2025-08-25,4840
16,2025-10-24,2276
54,2025-12-11,7301
17,2025-05-19,5542
13,2025-12-15,7772
39,2026-03-26,2524
57,2025-06-09,3178
56,2025-09-15,2574
65,2025-10-03,6046
75,2026-04-29,774
9,2025-12-03,7952
10,2026-04-18,1265
42,2025-10-24,222
40,2025-12-30,2386
64,2025-10-06,9938
24,2025-12-15,6292
45,2025-12-04,1405
59,2025-05-31,6109
54,2025-10-29,2653
3,2025-05-28,3898
15,2025-07-18,3197
32,2025-08-21,2860
23,2025-08-04,4499
24,2025-06-01,9018
30,2025-05-27,4165
34,2025-06-06,6641
69,2026-04-05,7084
32,2025-10-25,8076
47,2025-07-17,6932
59,2025-06-24,9306
68,2025-10-07,5051
47,2025-10-10,9966
80,2026-02-22,4028
68,2025-12-01,8517
74,2025-10-17,9202
78,2025-12-26,3543
66,2025-06-03,9753
39,2025-05-09,2118
60,2026-02-19,8154
50,2026-02-28,1826
60,2026-03-12,6978
38,2025-11-26,8357
58,2025-10-29,6838
11,2026-01-31,4169
15,2025-07-07,1541
17,2026-04-03,5480
19,2025-06-19,7632
26,2026-02-16,5300
34,2025-05-16,7823
20,2025-06-03,3133
66,2025-12-11,2831
66,2025-08-23,8741
38,2025-08-29,1804
17,2026-02-20,9469
61,2025-09-06,9876
80,2025-12-30,6654
14,2025-07-28,6781
54,2025-09-24,6614
30,2025-12-11,7008
17,2026-01-02,2557
8,2025-07-22,8498
60,2025-11-24,4423
15,2025-07-03,423
37,2025-06-12,7880
18,2025-06-21,1970
34,2026-01-18,3787
18,2025-09-16,567
28,2025-09-05,6784
19,2026-04-13,4952
29,2026-02-03,8172
29,2026-03-25,6067
49,2026-04-05,6860
54,2026-02-10,1635
10,2026-01-27,8422
68,2025-08-14,4477
27,2025-09-21,9268
7,2025-05-30,787
71,2025-05-19,6403
16,2026-03-17,209
22,2026-04-04,8913
75,2025-05-25,6937
47,2026-03-17,7563
71,2026-04-01,8826
39,2025-05-10,4688
22,2025-09-04,5675
18,2025-06-11,3976
43,2026-02-08,6136
13,2025-09-25,5869
54,2025-12-08,8272
70,2025-09-19,6857
61,2025-11-01,7979
64,2025-05-13,4821
80,2025-11-11,6876
38,2025-08-30,5380
33,2025-10-06,5563
69,2025-12-14,7531
29,2026-03-29,1804
12,2025-12-01,1136
68,2026-04-24,4671
63,2025-09-01,4039
46,2026-01-20,359
52,2026-03-24,7292
53,2026-01-15,8802
42,2026-01-17,6388
6,2025-07-22,5203
57,2026-01-16,1778
10,2025-07-08,1013
5,2026-04-08,8588
80,2025-12-10,3390
80,2025-05-04,3388
24,2025-10-26,9998
80,2025-09-10,7025
76,2025-09-05,4634
62,2025-08-12,2273
21,2025-08-06,7032
52,2025-05-05,7662
13,2025-06-18,7350
20,2025-08-25,4160
79,2025-06-17,4032
68,2025-11-22,3670
51,2025-07-25,785
30,2026-01-25,8125
32,2025-10-19,7610
21,2025-11-08,3157
47,2025-09-28,2265
76,2026-01-14,6766
21,2025-06-30,8664
70,2026-01-19,4033
32,2025-12-28,4254
18,2026-04-11,2310
25,2025-05-10,2484
8,2025-09-16,5340
21,2026-04-05,5967
78,2025-06-26,2219
79,2025-11-24,9790
49,2025-05-23,6709
78,2025-05-15,3040
29,2025-07-18,9367
23,2025-08-21,202
66,2025-05-09,9701
18,2026-02-18,7266
69,2025-12-17,6354
27,2025-10-07,1150
9,2025-08-09,8881
6,2026-02-11,9359
27,2025-11-28,761
79,2025-08-22,6506
16,2026-04-06,6676
2,2025-08-15,8464
23,2025-08-16,9727
21,2025-10-27,6980
4,2026-03-23,5416
17,2025-05-04,1912
60,2025-10-07,9224
73,2026-03-27,7603
80,2025-07-11,7446
51,2025-10-07,2951
60,2026-01-09,9220
46,2026-01-17,8060
1,2025-08-13,8560
5,2025-12-08,8409
14,2025-10-27,3587
69,2026-03-09,5949
64,2026-01-27,5401
20,2026-03-17,3611
76,2025-11-09,2717
16,2025-07-07,9281
43,2025-11-25,7707
47,2026-01-04,2253
8,2025-09-12,5432
63,2026-03-13,354
15,2025-08-06,6246
38,2025-12-16,5866
25,2025-05-09,1571
43,2026-02-13,4611
59,2025-08-03,1128
65,2025-10-20,2505
47,2026-02-07,4149
45,2026-02-28,4353
29,2025-07-30,2527
78,2025-12-20,3008
23,2025-07-15,8675
46,2025-05-06,6004
26,2025-08-09,6387
61,2025-08-13,1366
27,2025-11-22,2502
59,2025-09-14,558
52,2025-05-06,2608
6,2025-12-09,1244
5,2025-07-16,2581
56,2025-05-14,7950
79,2025-09-01,4154
69,2025-08-10,9975
19,2026-04-03,6397
68,2025-06-11,6969
74,2025-08-26,6967
30,2025-11-24,3576
2,2025-07-19,901
36,2025-06-29,3695
70,2025-05-01,5645
22,2026-03-24,1782
68,2025-11-06,7380
58,2025-09-09,2603
47,2025-12-20,1521
59,2025-12-15,9924
76,2025-12-19,789
75,2026-01-31,1502
23,2026-01-15,3507
76,2026-02-21,6708
72,2026-02-12,7545
34,2026-01-30,5383
17,2025-06-05,808
50,2025-09-09,6240
67,2026-01-25,6812
25,2025-10-08,6162
25,2025-11-26,4327
17,2026-04-15,5741
34,2026-03-17,9830
20,2025-07-07,8649
11,2026-01-14,9947
7,2026-01-16,7120
39,2026-04-26,3284
21,2025-08-13,2929
24,2026-04-01,8752
20,2026-03-17,2747
51,2025-06-05,5928
52,2025-07-10,6442
14,2025-12-06,4476
5,2025-09-10,9971
27,2025-07-28,8439
52,2025-10-25,9330
15,2025-10-23,6313
32,2026-02-25,4666
9,2026-03-22,7464
56,2025-11-11,1033
39,2025-09-13,1635
59,2026-04-08,7076
23,2025-06-20,9487
51,2026-03-31,7150
32,2025-05-29,545
28,2025-11-16,8139
23,2026-03-17,6630
2,2026-03-14,6536
51,2025-11-20,4527
24,2025-07-08,1723
67,2025-06-12,1702
5,2025-12-07,9307
67,2025-08-04,9518
69,2026-01-19,5667
60,2026-04-26,2040
1,2026-04-25,4110
70,2026-04-10,7303
9,2025-11-01,7769
18,2026-02-06,2620
18,2025-10-20,6205
33,2025-08-02,8162
61,2025-05-05,6323
15,2025-08-22,8115
12,2025-06-20,6343
2,2026-04-06,9729
60,2025-07-29,8972
80,2026-03-13,8615
80,2025-05-04,7149
30,2026-04-02,6943
51,2026-01-10,1711
64,2026-02-07,8558
1,2025-05-20,3732
36,2025-10-18,7189
73,2026-01-11,986
27,2025-12-25,7632
42,2026-03-02,3213
26,2026-04-24,3805
40,2026-02-02,746
58,2025-06-09,3966
11,2025-06-22,9224
38,2025-09-18,9284
60,2025-08-28,5010
44,2026-03-01,7942
78,2026-02-09,6481
50,2025-12-30,3440
53,2026-04-04,4820
54,2025-10-05,1619
2,2025-05-30,5607
66,2026-03-17,3620
59,2025-11-05,3465
11,2026-02-01,7079
33,2025-12-20,8563
31,2025-11-04,6440
25,2025-05-29,4218
69,2026-01-13,891
38,2025-05-13,4619
21,2026-04-08,8256
79,2025-09-09,6722
62,2026-03-13,4463
22,2025-08-28,4060
66,2025-08-24,6864
60,2025-11-05,9928
67,2025-08-02,2400
