ProductName,CategoryID,Price,Stock
Set of Herb Garden Markers,4,215,35
Fitness Balance Ball,4,2292,67
Body Wash,3,1396,72
Pet Reflective Vest,1,2109,160
Chili Lime Shrimp,1,3744,125
Toilet Paper (12 rolls),1,4897,155
Banana Nut Oatmeal Cups,2,908,159
Basil Tomato Soup,4,573,64
Canvas High-Top Sneakers,3,103,145
Pocket Blanket,3,2926,32
Weighted Blanket,1,3160,186
Casual Cropped Sweater,2,2113,59
Vegetable Stir Fry Mix,1,3349,90
Maple Cinnamon Granola,4,4818,100
Wireless Security Camera,4,3839,59
Portable Pet Bathing Tool,1,4331,187
Over-the-Door Hooks,4,1685,95
Cabbage Slaw Mix,2,4042,74
Pistachios,2,209,193
Animal Paw Print Soap Dispenser,2,1030,169
Lemon Herb Chicken,4,674,102
Glass Food Containers,2,2640,150
Pumpkin Spice Latte Mix,3,3706,179
Organic Black Rice,4,4104,77
Coconut Flakes,1,2535,40
Sweetened Condensed Milk,3,4051,84
Bamboo Cutting Board Set,1,4902,97
Multi-Functional Rice Cooker,3,4900,83
Home Office Chair,2,3719,179
Surimi Crab Sticks,4,2404,73
Frozen Acai Purée,3,3713,63
Fitness Jump Rope with LCD Counter,3,4028,21
Hot Salsa,4,4142,121
Cucumber,1,4805,12
Tuna Fish (canned),2,3963,114
Portable Water Filter,2,659,79
Sushi Roll Kit,1,3525,36
Frozen Acai Purée,3,4738,113
Buffalo Cauliflower Bites,1,3558,121
Tropical Fruit Bowl,2,1984,48
Sweet Potato Fries,1,2619,126
Sliced Bread,4,3018,96
Self-Massaging Pillow,4,4696,83
Animal Paw Print Soap Dispenser,2,2577,16
Electric Fondue Pot,2,4316,192
Maple Breakfast Sausage,1,3957,89
Biodegradable Trash Bags,4,3315,161
Electric Pressure Washer,2,2347,99
Casual Long Cardigan,3,217,160
Ice Cube Tray with Lid,4,302,37
Digital Wireless Meat Thermometer,2,2412,84
Blackberry Compote,2,606,44
Lightweight Workout Tank,3,4027,107
Sliced Bread,2,910,138
High-Quality Yoga Block,4,977,64
Sriracha Honey Glaze,4,2024,193
Sweet Chili Dipping Sauce,3,3512,131
Vegetable Samosas,1,1343,63
Frozen Berry Blend,1,3361,45
Apple Juice,3,757,96
Eco-Friendly Stainless Steel Straws,1,4008,29
Classic Black Dress,3,976,149
Adjustable Pet Grooming Table,1,101,185
Insulated Cooler,1,4403,27
Organic Cucumber,2,4246,108
Adjustable Laptop Stand,3,4020,125
Slim Wallet,1,4033,23
Smoked Salmon,3,854,184
Vegetable Spring Rolls,1,3408,118
Car Diagnostic Scanner,3,1358,112
Active Racerback Tank,4,387,100
Italian Marinara Sauce,3,3679,130
Fitness Jump Box,1,1263,47
Cheese Stuffed Jalapenos,4,2792,78
Savory Oatmeal,1,1308,56
Maple Pecan Granola,4,4477,63
Dual Function Electric Skillet,2,2205,36
Chickpeas,2,4487,50
Suede Ankle Booties,1,3967,186
Zucchini,2,1214,166
Luminous Night Light,1,302,169
Herb Seasoned Rice,1,354,67
Organic Coconut Flakes,1,2517,44
Foot Massager Machine,2,2818,164
Travel Luggage Scale,1,4102,131
Electric Skillet,2,3371,107
Mini Waffle Maker,1,3814,161
Organic Cucumber,2,2515,155
Spicy Roasted Nuts,2,2334,191
Compact Folding Table,4,3562,194
Coconut Water,1,4378,32
Garlic Herb Grilled Chicken,3,3184,28
Crispy Chickpeas,1,3787,73
Habanero Hot Sauce,3,612,64
Compact Pop-Up Tent,4,3833,30
Organic Whole Wheat Flour,3,856,23
Rice Pilaf Mix,4,4035,140
Vegetarian Chili,1,4982,146
Frozen Berry Medley,4,525,86
Handheld Shower Head,2,2781,191
Puzzle 3D Model Kit,3,565,156
Classic Cheesecake Mix,4,3867,104
Over-the-Door Shoe Organizer,1,4500,174
Electric Stool Heater,2,1133,66
Coconut Lime Rice,4,204,132
Ultra-Thin Laptop Sleeve,4,743,134
Honey Mustard Dip,4,918,195
Cotton Tote Bag Set,1,3502,14
Kids Tablet,2,3713,168
Self-Cleaning Cat Litter Box,3,517,167
Almond Joy Snack Bars,4,1810,145
Roasted Vegetable Medley,2,3767,10
Lemon Garlic Shrimp,3,579,96
Tahini,2,4120,30
Honey Garlic Shrimp,4,4833,140
Digital Drawing Tablet,3,1103,174
Stuffed Bell Peppers,2,2029,200
Salsa Verde,4,1959,200
Peanut Butter Banana Smoothie Mix,1,3630,101
Sunglasses Case,4,2178,90
Smart Light Switch,3,4355,198
Spinach and Ricotta Ravioli,4,2352,128
Artisan Pickles,1,3841,66
Compressed Towel Tablets,1,3014,187
Pet Reflective Vest,2,2789,108
Oven-Baked Parmesan Zucchini,3,4561,80
Warm Knit Beanie,1,4527,108
Cinnamon Ice Cream,4,4729,64
Pumpkin Spice Latte Mix,1,4523,52
Sea Salt Tortilla Chips,4,2988,191
Italian Breadsticks,4,3970,77
Coconut Curry Chicken,4,2600,47
Heated Throw Blanket,4,2392,41
Graphic Hoodie,4,2208,115
Vegetable Stir-Fry Kit,2,2868,47
Wireless Range Extender,3,3491,12
Puffed Rice Cake,2,4868,123
Pine Nuts,3,3112,91
Italian Sausage and Peppers,1,569,194
Baking Powder,2,2195,37
Ankle Boots,4,2046,145
Spicy Thai Noodles,3,3869,79
Portable Phone Charger,3,1104,44
Chickpea Salad,3,542,152
Silicone Baking Mat Set,2,672,163
Tomato Basil Pasta Sauce,4,630,143
Car Vacuum,1,4283,25
Sriracha Honey Glaze,1,3700,143
Wooden Kitchen Utensil Set,2,1525,99
Caramelized Onion Dip,2,1208,158
Vegetable Lentil Soup,3,2117,30
Almond Milk,4,3081,60
Kids Tablet,4,2028,88
Organic Quinoa Salad,4,4865,92
Noise-Canceling Earbuds,2,2900,14
Low-Fat Cottage Cheese,1,2099,140
Sweet and Sour Sauce,1,2940,43
Linen Trousers,4,2106,46
Non-Stick Grill Pan,4,1748,61
Jigsaw Puzzle,4,3284,44
Chocolate Mint Cookies,1,786,11
Natural Peanut Butter,4,3492,47
Blueberry Muffin Mix,3,1986,34
Peach Fruit Cups,3,772,179
Whole Roasted Chicken,4,326,152
Digital Wireless Camera,1,4785,153
Fitness Tracker Watch,4,2195,92
Smart Air Purifier,2,4613,57
Baby Safety Corner Guards,1,834,55
Board Game Storage,1,4581,33
Mini Hand Gesture Drone,4,677,168
Bamboo Cutting Board,2,2556,50
Mobile Workbench,2,1904,144
Zucchini Noodles,2,2861,199
Baking Powder,4,2616,159
Chipotle Seasoning Blend,2,4113,47
Laptop Sleeve,3,1657,155
Honey Lemon Tea,4,333,167
Oven-Baked Chicken Tenders,3,1409,45
Cotton Basic Tank,4,3531,157
Almond Flour Biscuits,1,1579,32
Thai Peanut Noodles,3,2520,175
Sweet Potato and Chickpea Bowl,3,626,96
Portable Speaker Stand,2,3587,44
Veggie Burger Patties,3,1396,85
Applewood Smoked Bacon,2,4884,10
Indoor Grill,4,1785,132
Cinnamon Spiced Almonds,4,1822,80
Digital Stopwatch Timer,1,3887,188
Tuscan Bean Soup,3,1465,172
Wild Rice Pilaf,3,532,158
Weighted Blanket for Adults,2,1063,16
Savory Rice Cakes,1,1310,106
Stainless Steel Straws,1,2345,117
Vegetable Lasagna,2,4658,104
Artisan Cornbread Mix,3,4364,121
Adjustable Pedicure Footrest,3,566,154
Pet Activity Tracker,3,1338,10
Non-Stick Baking Sheet,2,960,176
Watercolor Brush Pens,1,1129,155
Savory Italian Herbs,4,2642,104
Portable Laptop Table,3,1502,61
Savory Oats,3,4926,24
Two-Tone Windbreaker,3,4670,126
Chili Lime Corn Chips,1,272,67
Camera Lens Cleaning Kit,3,230,175
Mayonnaise,3,4741,190
Portable Camping Shower,4,1910,15
Breezy Off-The-Shoulder Top,4,4904,110
Pineapple Rings,3,4232,144
Vegan chocolate chip cookies,1,3626,176
Almond Butter,1,2951,150
Pumpkin Spice Coffee,2,4727,25
Electric Heating Pad,3,4092,47
Backpack,2,4538,192
Bicycle Repair Kit,2,3411,161
Bamboo Memory Foam Pillow,2,4069,25
Luxury Bathrobe,1,3458,145
Heart-Shaped Baking Molds,1,3844,79
Stick Vacuums Cleaner,2,2066,44
Strawberry Banana Smoothie Pack,4,4476,182
High-Pressure Handheld Shower Head,2,604,180
Taro Chips,1,3474,142
Teriyaki Chicken Skewers,3,4996,165
Rice Pilaf Mix,2,307,21
Creamy Tomato Basil Soup,4,2544,78
Vegan Taco Seasoning,1,4256,193
Creamy Spinach Dip,4,2134,134
Portable Hammock with Stand,2,2514,133
Tomato Paste,3,4788,47
